Hermits Rest Viewpoint to Tonto Trail to Bright Angel Trailhead	Grand Canyon National Park	Arizona	34118.008	5	point to point	 views	 wild-flowers	 wildlife
Desert Discovery Nature Trail	Saguaro National Park	Arizona	643.736	1	loop	 dogs-leash	 kid-friendly	 paved
Boucher Trail to Hermit Trail Loop	Grand Canyon National Park	Arizona	32508.668	5	loop	 river	 views	 wild-flowers
Thunderbird Trail	Saguaro National Park	Arizona	6437.36	3	out and back	 dogs-no	 views	 wild-flowers
Rim Trail and  South Kaibab and Bright Angel Loop	Grand Canyon National Park	Arizona	34118.008	5	loop	 views	 wild-flowers	 wildlife
Mather Campground Trail	Grand Canyon National Park	Arizona	3701.482	1	loop	 kid-friendly	 paved	
Cactus Wren Trail	Saguaro National Park	Arizona	6276.426	3	loop	 views	 wild-flowers	
Tonto Trail: New Hance Trail to Grandview Point	Grand Canyon National Park	Arizona	25105.704	7	point to point	 dogs-no	 river	 views
South to North Kalbab Trail	Grand Canyon National Park	Arizona	49728.606	7	point to point	 river	 views	
Painted Desert Rim Trail to Kachina Point	Petrified Forest National Park	Arizona	1770.274	1	out and back	 views		
Tusayan Ruin Trail	Grand Canyon National Park	Arizona	482.802	1	loop	 historic-site	 kid-friendly	 views
Scenic and  Passey and  Packrat Trail Loop	Saguaro National Park	Arizona	2735.878	1	loop	 kid-friendly	 views	 wild-flowers
Ribbon Falls from the North Rim via North Kaibob Trail	Grand Canyon National Park	Arizona	27036.912	5	out and back	 waterfall	 wild-flowers	
Mica Mountain via Douglas Spring and Cow Head Saddle Trail	Saguaro National Park	Arizona	40877.236	7	out and back	 views		
Redington OHV Trail	Saguaro National Park	Arizona	39267.896	1	point to point	 views	 wild-flowers	 wildlife
Boucher Trail	Grand Canyon National Park	Arizona	28485.318	7	out and back	 river	 views	
Hope Camp Coyote Wash and Ruiz Trail Loop	Saguaro National Park	Arizona	9334.172	3	loop	 views	 wild-flowers	
Ken Patrick Trail North from Point Imperial	Grand Canyon National Park	Arizona	7885.766	1	out and back	 forest	 kid-friendly	 views
Tanque Verde Falls Beach	Saguaro National Park	Arizona	1287.472	1	out and back	 dogs-leash	 river	 views
Grand Canyon Bridle Trail	Grand Canyon National Park	Arizona	5149.888	1	out and back	 forest	 kid-friendly	 views
Shantz and Mica View Trail	Saguaro National Park	Arizona	4184.284	3	loop	 wild-flowers		
Tonto Trail from Grandview Point to South Kaibab Trailhead	Grand Canyon National Park	Arizona	43774.048	7	point to point	 views	 wild-flowers	 wildlife
Phantom Ranch to Phantom Overlook	Grand Canyon National Park	Arizona	3379.614	3	out and back	 wildlife		
Monument Point via Bill Hall Trail	Grand Canyon National Park	Arizona	2414.01	1	out and back	 forest	 kid-friendly	 views
Marthas Butte	Petrified Forest National Park	Arizona	4345.218	3	out and back	 historic-site	 views	 wild-flowers
Coyote Pass Loop Trail	Saguaro National Park	Arizona	9173.238	1	loop	 kid-friendly		
Waldron Trail	Grand Canyon National Park	Arizona	7885.766	5	out and back			
Lava Falls Trail	Grand Canyon National Park	Arizona	4184.284	5	out and back	 river	 views	 wildlife
Turkey Creek	Saguaro National Park	Arizona	19473.014	5	out and back	 forest		
Cactus Canyon and Gila Monster Loop via Thunderbird Trail	Saguaro National Park	Arizona	9656.04	3	loop	 views		
Panther Peak Wash - Roadrunner Loop	Saguaro National Park	Arizona	6759.228	3	loop			
Manning Camp Trail	Saguaro National Park	Arizona	24783.836	5	out and back	 views	 wild-flowers	 wildlife
Tanner Trail to Grandview Trail and Grandview Point	Grand Canyon National Park	Arizona	50855.144	7	point to point	 river	 views	 wild-flowers
Blue Hills Loop	Petrified Forest National Park	Arizona	3862.416	3	loop	 views	 wild-flowers	 wildlife
Grandview Point to Horseshoe Mesa East Trail	Grand Canyon National Park	Arizona	11748.182	5	out and back			
Tonto Trail to Monument Creek	Grand Canyon National Park	Arizona	45544.322	5	out and back	 river	 views	
Marthas Butte Off-Trail Route	Petrified Forest National Park	Arizona	3057.746	1	out and back	 historic-site	 kid-friendly	 views
Vertical Cliffs Trail to Abington Trail Loop	Saguaro National Park	Arizona	6115.492	1	loop	 kid-friendly	 views	 wild-flowers
Bajada Loop Drive	Saguaro National Park	Arizona	8368.568	1	loop	 kid-friendly	 views	 wild-flowers
Hope Campe and  Ruiz Trail and  and Coyote Wash Trail	Saguaro National Park	Arizona	9012.304	3	loop	 views	 wild-flowers	
Wild Horse to Garwood Dam	Saguaro National Park	Arizona	6276.426	1	out and back			
